# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,37178880.0000,    0.3281,    0.3320,   31.2826
   20.0000, 2560.0000,20647388.0000,    0.2891,    0.3320,   62.6318
   30.0000, 3840.0000,11582529.0000,    0.2422,    0.2266,   93.9963
   40.0000, 5120.0000,5301703.0000,    0.4922,    0.4922,  125.6830
   50.0000, 6400.0000,5874924.5000,    0.4531,    0.4727,  157.3668
   60.0000, 7680.0000,4823809.0000,    0.4531,    0.5273,  192.6175
   70.0000, 8960.0000,2885624.5000,    0.5312,    0.5234,  224.0650
   80.0000,10240.0000,3885765.7500,    0.4688,    0.5391,  254.5873
   90.0000,11520.0000,4357756.5000,    0.4219,    0.4609,  287.2991
  100.0000,12800.0000,4155481.5000,    0.5234,    0.5117,  319.3713
  110.0000,14080.0000,1787885.7500,    0.6172,    0.5586,  353.8776
  120.0000,15360.0000,1943543.2500,    0.5469,    0.5547,  385.1586
  130.0000,16640.0000,1705304.5000,    0.6406,    0.5859,  417.0051
  140.0000,17920.0000,1578263.3750,    0.4844,    0.4570,  449.7759
  150.0000,19200.0000,927690.0000,    0.6797,    0.5664,  481.3832
  160.0000,20480.0000,1416895.2500,    0.5156,    0.5117,  513.3421
  170.0000,21760.0000,687810.5625,    0.6328,    0.5820,  544.7836
  180.0000,23040.0000,705685.7500,    0.5625,    0.4961,  576.2776
  190.0000,24320.0000,387296.9688,    0.7422,    0.6484,  607.9761
  200.0000,25600.0000,811893.9375,    0.5938,    0.6367,  639.5788
  210.0000,26880.0000,413341.2188,    0.6562,    0.6602,  675.9500
  220.0000,28160.0000,417949.4062,    0.6797,    0.6523,  710.8177
  230.0000,29440.0000,282677.6875,    0.6719,    0.6211,  744.7394
  240.0000,30720.0000,370211.4062,    0.6250,    0.6250,  773.4900
  250.0000,32000.0000,225310.1875,    0.6797,    0.6445,  806.2760
  260.0000,33280.0000,227384.7969,    0.6172,    0.6641,  844.0149
  270.0000,34560.0000,166869.5469,    0.6719,    0.6719,  878.3233
  280.0000,35840.0000,213168.1250,    0.6094,    0.6367,  912.8091
  290.0000,37120.0000,184010.8125,    0.5234,    0.6523,  947.4435
  300.0000,38400.0000,104626.6094,    0.6406,    0.6484,  981.8077
  310.0000,39680.0000,99330.0859,    0.5859,    0.5977, 1018.4156
  320.0000,40960.0000,116412.2188,    0.6016,    0.5859, 1049.5063
  330.0000,42240.0000,65317.1172,    0.6406,    0.5547, 1083.9465
  340.0000,43520.0000,67602.5703,    0.5000,    0.5430, 1116.8363
  350.0000,44800.0000,52042.2969,    0.5312,    0.4805, 1149.3001
  360.0000,46080.0000,29639.5859,    0.4297,    0.4375, 1184.0076
  370.0000,47360.0000,26416.0352,    0.4219,    0.4023, 1215.4526
  380.0000,48640.0000,26049.4902,    0.3984,    0.3633, 1247.5549
  390.0000,49920.0000,       nan,       nan,    0.3281, 1275.6568
