# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,8777396.0000,    0.4922,    0.4688,    8.3902
   20.0000, 2560.0000,7257778.5000,    0.5391,    0.5117,   16.8106
   30.0000, 3840.0000,5185981.0000,    0.4531,    0.5039,   25.2521
   40.0000, 5120.0000,3632699.2500,    0.5156,    0.5039,   33.6213
   50.0000, 6400.0000,4292510.0000,    0.4453,    0.5391,   42.2116
   60.0000, 7680.0000,3363167.2500,    0.5312,    0.5469,   51.7717
   70.0000, 8960.0000,2243141.0000,    0.5391,    0.5859,   60.2395
   80.0000,10240.0000,2199212.2500,    0.6328,    0.6016,   67.9543
   90.0000,11520.0000,2024895.6250,    0.5781,    0.6250,   76.4521
  100.0000,12800.0000,2540414.5000,    0.5156,    0.6172,   85.0033
  110.0000,14080.0000,1973234.0000,    0.6250,    0.6289,   94.7238
  120.0000,15360.0000,1453555.8750,    0.6875,    0.6758,  103.4130
  130.0000,16640.0000,1088817.6250,    0.6641,    0.7188,  112.1404
  140.0000,17920.0000,1261014.7500,    0.6875,    0.7383,  120.9158
  150.0000,19200.0000,729225.8125,    0.6719,    0.7266,  129.5917
  160.0000,20480.0000,1109746.2500,    0.6875,    0.6836,  138.5625
  170.0000,21760.0000,775614.2500,    0.7344,    0.7461,  147.4785
  180.0000,23040.0000,723990.1875,    0.6953,    0.7500,  156.2227
  190.0000,24320.0000,535924.5000,    0.7031,    0.7109,  164.9379
  200.0000,25600.0000,726828.5625,    0.6875,    0.7305,  173.7876
  210.0000,26880.0000,781623.5000,    0.6953,    0.7266,  183.5370
  220.0000,28160.0000,572644.3750,    0.7812,    0.7656,  192.4284
  230.0000,29440.0000,786371.7500,    0.7266,    0.7734,  201.3900
  240.0000,30720.0000,719743.6875,    0.7031,    0.7500,  209.3762
  250.0000,32000.0000,529501.1250,    0.7578,    0.7578,  218.1093
  260.0000,33280.0000,392141.7500,    0.7969,    0.7578,  228.0065
  270.0000,34560.0000,349859.3438,    0.7812,    0.7773,  236.7465
  280.0000,35840.0000,355379.2812,    0.7578,    0.7773,  245.4956
  290.0000,37120.0000,385511.0000,    0.7500,    0.7930,  254.2706
  300.0000,38400.0000,468360.1562,    0.7578,    0.7617,  263.0896
  310.0000,39680.0000,436078.5625,    0.7422,    0.7852,  272.9140
  320.0000,40960.0000,321746.7812,    0.7500,    0.7656,  281.0399
  330.0000,42240.0000,255608.0625,    0.8125,    0.8008,  289.9496
  340.0000,43520.0000,298376.6562,    0.8125,    0.7617,  298.7838
  350.0000,44800.0000,175211.5312,    0.8516,    0.8047,  307.5899
  360.0000,46080.0000,269792.3750,    0.7891,    0.7734,  317.4833
  370.0000,47360.0000,201635.1406,    0.8125,    0.8008,  326.3406
  380.0000,48640.0000,323603.0625,    0.7656,    0.8008,  335.1112
  390.0000,49920.0000,       nan,       nan,    0.8125,  342.9453
  400.0000,51200.0000,180402.0000,    0.8281,    0.8008,  351.6713
  410.0000,52480.0000,245474.4062,    0.8203,    0.8086,  361.4021
  420.0000,53760.0000,221075.6250,    0.7812,    0.7930,  370.1873
  430.0000,55040.0000,83367.8750,    0.8828,    0.7734,  379.0602
  440.0000,56320.0000,183194.2500,    0.8281,    0.7891,  387.8752
  450.0000,57600.0000,105805.8750,    0.8828,    0.8242,  396.6130
  460.0000,58880.0000,211936.4375,    0.7891,    0.8008,  406.4345
  470.0000,60160.0000,217833.2344,    0.8047,    0.8164,  414.4871
  480.0000,61440.0000,148298.9688,    0.8359,    0.8086,  423.3337
  490.0000,62720.0000,133621.8750,    0.8359,    0.8203,  432.1370
  500.0000,64000.0000,174334.1250,    0.8047,    0.8203,  440.9132
  510.0000,65280.0000,112015.1641,    0.8516,    0.8281,  450.6610
  520.0000,66560.0000,144540.3125,    0.8359,    0.8125,  459.5478
  530.0000,67840.0000,83871.8594,    0.8750,    0.8242,  468.3145
  540.0000,69120.0000,81379.9219,    0.8906,    0.8320,  477.0204
  550.0000,70400.0000,99168.6719,    0.8594,    0.8047,  485.0517
  560.0000,71680.0000,105838.4766,    0.8359,    0.7969,  494.8245
  570.0000,72960.0000,121990.1094,    0.8047,    0.8125,  503.6921
  580.0000,74240.0000,147465.8750,    0.8047,    0.8164,  512.4775
  590.0000,75520.0000,118934.9062,    0.8203,    0.8125,  521.2823
  600.0000,76800.0000,164336.3594,    0.7734,    0.7969,  530.0977
  610.0000,78080.0000,107594.0625,    0.8750,    0.8281,  539.9659
  620.0000,79360.0000,94782.4375,    0.8438,    0.8125,  548.7451
  630.0000,80640.0000,134469.0625,    0.7812,    0.8164,  556.8584
  640.0000,81920.0000,99763.5625,    0.7969,    0.8320,  565.6140
  650.0000,83200.0000,202143.5781,    0.7656,    0.8281,  574.8154
  660.0000,84480.0000,107448.9375,    0.8047,    0.8359,  584.7560
  670.0000,85760.0000,72659.4922,    0.8750,    0.8164,  593.5552
  680.0000,87040.0000,84144.1719,    0.8516,    0.8398,  602.3329
  690.0000,88320.0000,67618.0312,    0.8594,    0.8047,  611.0332
  700.0000,89600.0000,60736.2422,    0.8281,    0.7969,  619.7506
  710.0000,90880.0000,85446.6797,    0.8672,    0.8164,  628.7804
