# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,62307088.0000,    0.2344,    0.2148,   87.7948
   20.0000, 2560.0000,30115108.0000,    0.4375,    0.4609,  177.1976
   30.0000, 3840.0000,28758064.0000,    0.3828,    0.4336,  265.7536
   40.0000, 5120.0000,16353770.0000,    0.5156,    0.5430,  354.8325
   50.0000, 6400.0000,16105508.0000,    0.3828,    0.4883,  443.2761
   60.0000, 7680.0000,8614016.0000,    0.5234,    0.5352,  533.9633
   70.0000, 8960.0000,8542283.0000,    0.5547,    0.5586,  622.5422
   80.0000,10240.0000,10248505.0000,    0.5078,    0.5391,  703.0618
   90.0000,11520.0000,12298412.0000,    0.4609,    0.5156,  791.7226
  100.0000,12800.0000,5289845.5000,    0.6406,    0.5117,  880.1752
  110.0000,14080.0000,3821661.5000,    0.6094,    0.5742,  971.1023
  120.0000,15360.0000,3174963.0000,    0.6250,    0.5586, 1059.6262
  130.0000,16640.0000,2921003.2500,    0.6328,    0.5508, 1148.0619
  140.0000,17920.0000,2868428.0000,    0.5703,    0.6250, 1236.5286
  150.0000,19200.0000,1999057.2500,    0.6562,    0.6328, 1325.0903
  160.0000,20480.0000,1842444.8750,    0.6562,    0.6719, 1408.1747
  170.0000,21760.0000,1380143.3750,    0.6797,    0.6914, 1496.7789
  180.0000,23040.0000,1474309.1250,    0.5938,    0.6445, 1585.1783
  190.0000,24320.0000,1430254.5000,    0.5781,    0.5898, 1673.3903
  200.0000,25600.0000,1347964.7500,    0.5781,    0.6797, 1761.7211
  210.0000,26880.0000,758205.8750,    0.6250,    0.6914, 1852.0671
  220.0000,28160.0000,741609.8750,    0.6875,    0.6523, 1940.3410
  230.0000,29440.0000,628534.0000,    0.6641,    0.6953, 2029.8700
  240.0000,30720.0000,581061.8750,    0.5703,    0.6172, 2110.3992
  250.0000,32000.0000,584462.7500,    0.6641,    0.6523, 2198.8903
  260.0000,33280.0000,474531.0000,    0.5781,    0.6250, 2289.8105
  270.0000,34560.0000,336440.1875,    0.6953,    0.6211, 2378.6505
  280.0000,35840.0000,420477.5000,    0.5781,    0.5742, 2467.0395
  290.0000,37120.0000,333453.8750,    0.5391,    0.5234, 2555.4229
  300.0000,38400.0000,192177.1875,    0.5469,    0.5156, 2643.6206
  310.0000,39680.0000,166708.0000,    0.4766,    0.4180, 2734.1074
  320.0000,40960.0000,147823.5312,    0.3203,    0.3906, 2814.4186
  330.0000,42240.0000,83404.3125,    0.4219,    0.3359, 2902.8419
  340.0000,43520.0000,53609.8945,    0.3594,    0.3008, 2991.0265
  350.0000,44800.0000,46114.6680,    0.3203,    0.2852, 3079.2465
  360.0000,46080.0000,36138.1680,    0.2812,    0.2969, 3169.8733
  370.0000,47360.0000,30862.3906,    0.2656,    0.2852, 3258.2922
