# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,2193250560.0000,    0.4531,    0.4414,  138.2709
   20.0000, 2560.0000,2235624960.0000,    0.4219,    0.3984,  279.4190
   30.0000, 3840.0000,1541774720.0000,    0.2969,    0.3789,  420.2180
   40.0000, 5120.0000,503686400.0000,    0.4062,    0.4609,  561.3521
   50.0000, 6400.0000,649917696.0000,    0.4375,    0.4805,  701.9371
   60.0000, 7680.0000,398639232.0000,    0.5547,    0.5547,  843.3922
   70.0000, 8960.0000,409956672.0000,    0.5078,    0.5508,  983.5123
   80.0000,10240.0000,416376064.0000,    0.4922,    0.5430, 1110.9855
   90.0000,11520.0000,376781280.0000,    0.5000,    0.5547, 1250.7365
  100.0000,12800.0000,155910848.0000,    0.6250,    0.6133, 1390.7215
  110.0000,14080.0000,237229872.0000,    0.5547,    0.5586, 1532.6147
  120.0000,15360.0000,234254784.0000,    0.5703,    0.5703, 1673.1427
  130.0000,16640.0000,253830752.0000,    0.5703,    0.6055, 1813.4807
  140.0000,17920.0000,150547680.0000,    0.6016,    0.5977, 1953.8338
  150.0000,19200.0000,137570016.0000,    0.6172,    0.6094, 2094.4448
  160.0000,20480.0000,79839200.0000,    0.7188,    0.6680, 2223.3772
  170.0000,21760.0000,79835392.0000,    0.6875,    0.7031, 2363.9342
  180.0000,23040.0000,80038448.0000,    0.6406,    0.7344, 2504.4312
  190.0000,24320.0000,59884468.0000,    0.6641,    0.6797, 2644.8023
  200.0000,25600.0000,65388744.0000,    0.6406,    0.6836, 2784.6463
  210.0000,26880.0000,52403888.0000,    0.6875,    0.6836, 2925.6293
  220.0000,28160.0000,59843528.0000,    0.7109,    0.6523, 3065.5633
  230.0000,29440.0000,55649812.0000,    0.6719,    0.6875, 3205.4963
  240.0000,30720.0000,33492652.0000,    0.6797,    0.7305, 3333.0026
  250.0000,32000.0000,34947664.0000,    0.7109,    0.7227, 3472.9446
  260.0000,33280.0000,34731060.0000,    0.7031,    0.7070, 3614.2897
  270.0000,34560.0000,35371488.0000,    0.7109,    0.7227, 3754.1507
  280.0000,35840.0000,14393280.0000,    0.7891,    0.7188, 3893.8357
  290.0000,37120.0000,26561116.0000,    0.6641,    0.7539, 4033.7047
  300.0000,38400.0000,23827196.0000,    0.6953,    0.7383, 4173.7587
  310.0000,39680.0000,24386984.0000,    0.6484,    0.7344, 4314.9268
  320.0000,40960.0000,16844740.0000,    0.6875,    0.7109, 4442.0971
  330.0000,42240.0000,9015138.0000,    0.7422,    0.7109, 4581.8131
