# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,17868028.0000,    0.7109,    0.7148,  137.9829
   20.0000, 2560.0000,20660814.0000,    0.7266,    0.7148,  277.2059
   30.0000, 3840.0000,12609411.0000,    0.6562,    0.7266,  416.8268
   40.0000, 5120.0000,11544449.0000,    0.7031,    0.7344,  556.8448
   50.0000, 6400.0000,12980232.0000,    0.6406,    0.6719,  702.0452
   60.0000, 7680.0000,8879928.0000,    0.6641,    0.6523,  841.6841
   70.0000, 8960.0000,11626161.0000,    0.6641,    0.6523,  980.4231
   80.0000,10240.0000,11914512.0000,    0.6016,    0.6523, 1106.0203
   90.0000,11520.0000,9976620.0000,    0.6094,    0.6406, 1244.2492
  100.0000,12800.0000,7115230.0000,    0.7266,    0.6211, 1382.5061
  110.0000,14080.0000,6291847.0000,    0.6250,    0.6484, 1522.0781
  120.0000,15360.0000,5487854.0000,    0.6328,    0.6172, 1660.0039
  130.0000,16640.0000,6559527.0000,    0.6016,    0.5703, 1797.8328
  140.0000,17920.0000,4115765.2500,    0.5938,    0.5781, 1935.8147
  150.0000,19200.0000,3316045.0000,    0.5938,    0.5430, 2073.8276
  160.0000,20480.0000,2901773.5000,    0.5391,    0.5703, 2200.6139
  170.0000,21760.0000,2765641.0000,    0.5156,    0.5156, 2338.8778
  180.0000,23040.0000,3006360.0000,    0.5156,    0.4844, 2477.2077
  190.0000,24320.0000,2347186.0000,    0.4297,    0.4844, 2615.5506
  200.0000,25600.0000,2086166.2500,    0.4141,    0.4414, 2753.7335
  210.0000,26880.0000,2033705.7500,    0.3281,    0.3867, 2895.0276
  220.0000,28160.0000,1591638.0000,    0.2969,    0.2930, 3033.1435
  230.0000,29440.0000,1175322.1250,    0.3438,    0.2891, 3171.1924
  240.0000,30720.0000,945856.1875,    0.2578,    0.2695, 3296.7326
  250.0000,32000.0000,722345.8750,    0.2500,    0.2617, 3435.1895
  260.0000,33280.0000,700657.5625,    0.2109,    0.2070, 3575.2245
  270.0000,34560.0000,529668.3125,    0.2266,    0.1992, 3713.4054
  280.0000,35840.0000,215650.6250,    0.2031,    0.2070, 3851.6173
  290.0000,37120.0000,1280202.8750,    0.2109,    0.1836, 3990.1042
  300.0000,38400.0000,317470.3750,    0.1328,    0.2109, 4128.3161
  310.0000,39680.0000,242060.1719,    0.2031,    0.1953, 4268.9642
  320.0000,40960.0000,249543.5469,    0.1484,    0.1641, 4394.6504
  330.0000,42240.0000,221930.7812,    0.1484,    0.1719, 4532.8173
  340.0000,43520.0000,265187.3750,    0.1484,    0.1562, 4671.0422
  350.0000,44800.0000,82510.2266,    0.1641,    0.1523, 4809.3011
  360.0000,46080.0000,262178.6250,    0.1641,    0.1602, 4948.5870
  370.0000,47360.0000,156637.2812,    0.1250,    0.1484, 5086.6819
  380.0000,48640.0000,116093.8750,    0.1719,    0.1484, 5224.9418
  390.0000,49920.0000,       nan,       nan,    0.1406, 5346.1858
  400.0000,51200.0000,76138.5703,    0.1484,    0.1367, 5484.1927
  410.0000,52480.0000,264909.0000,    0.0859,    0.1367, 5623.4506
  420.0000,53760.0000,92186.6406,    0.1172,    0.1367, 5761.5905
  430.0000,55040.0000,207795.8438,    0.1328,    0.1367, 5899.6814
  440.0000,56320.0000, 5316.9492,    0.1250,    0.1406, 6037.7393
  450.0000,57600.0000,144811.9844,    0.0781,    0.1406, 6175.8412
  460.0000,58880.0000,182571.9844,    0.1094,    0.1367, 6315.0942
  470.0000,60160.0000,64824.6875,    0.1172,    0.1250, 6440.4374
  480.0000,61440.0000,147664.2031,    0.1484,    0.1328, 6579.1493
