# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,1678518144.0000,    0.2109,    0.1797,  143.7382
   20.0000, 2560.0000,272479872.0000,    0.3438,    0.3281,  283.5982
   30.0000, 3840.0000,158385536.0000,    0.2109,    0.1797,  423.4672
   40.0000, 5120.0000,111622968.0000,    0.3281,    0.3281,  562.7682
   50.0000, 6400.0000,87580752.0000,    0.2969,    0.3281,  701.5751
   60.0000, 7680.0000,106342776.0000,    0.2188,    0.1562,  841.5121
   70.0000, 8960.0000,31628760.0000,    0.1797,    0.2383,  979.8750
   80.0000,10240.0000,4728680.0000,    0.1875,    0.1641, 1105.8813
   90.0000,11520.0000,2859975.0000,    0.2422,    0.2852, 1244.5272
  100.0000,12800.0000, 4188.6973,    0.3125,    0.3398, 1383.1461
  110.0000,14080.0000,    5.6379,    0.4062,    0.3359, 1522.8031
  120.0000,15360.0000,    5.0334,    0.2969,    0.3320, 1661.0590
  130.0000,16640.0000,    4.5742,    0.3828,    0.3281, 1799.2379
  140.0000,17920.0000,    6.2584,    0.3594,    0.3281, 1937.4548
  150.0000,19200.0000,    3.0459,    0.3672,    0.3281, 2076.0637
  160.0000,20480.0000,205521040.0000,    0.1328,    0.1328, 2203.3120
  170.0000,21760.0000,12262836.0000,    0.2656,    0.4023, 2341.6339
  180.0000,23040.0000,23842.0137,    0.3047,    0.3281, 2480.0118
  190.0000,24320.0000,    4.1741,    0.3281,    0.3281, 2618.4938
  200.0000,25600.0000, 3318.8149,    0.2422,    0.3281, 2756.8737
  210.0000,26880.0000,    2.4948,    0.2734,    0.3281, 2896.7147
  220.0000,28160.0000,    3.6689,    0.3359,    0.3281, 3035.8396
  230.0000,29440.0000,    3.1884,    0.3125,    0.3281, 3174.6536
  240.0000,30720.0000,    3.5343,    0.2656,    0.3281, 3300.4888
  250.0000,32000.0000,    3.0219,    0.3359,    0.3281, 3438.9547
  260.0000,33280.0000,315819072.0000,    0.1875,    0.1562, 3578.5657
  270.0000,34560.0000,2661938.0000,    0.0703,    0.1289, 3716.9006
  280.0000,35840.0000,13790.5156,    0.3516,    0.3555, 3855.3555
  290.0000,37120.0000,    3.1427,    0.3125,    0.3281, 3993.9514
  300.0000,38400.0000,    4.2379,    0.3594,    0.3281, 4132.2344
  310.0000,39680.0000,    3.0272,    0.3047,    0.3281, 4271.7333
  320.0000,40960.0000,    4.9787,    0.3906,    0.3281, 4397.6615
  330.0000,42240.0000,    2.9289,    0.3516,    0.3281, 4536.2145
  340.0000,43520.0000,    3.7066,    0.3359,    0.3281, 4674.7274
  350.0000,44800.0000,    2.6063,    0.3125,    0.3281, 4814.0813
  360.0000,46080.0000,    2.7610,    0.3125,    0.3281, 4959.2917
  370.0000,47360.0000,    2.8393,    0.3750,    0.3281, 5097.6446
  380.0000,48640.0000,    3.6919,    0.3594,    0.3281, 5235.9215
  390.0000,49920.0000,       nan,       nan,    0.3281, 5357.5074
  400.0000,51200.0000,    4.7636,    0.3906,    0.3281, 5495.7553
  410.0000,52480.0000,    2.3085,    0.3281,    0.3281, 5635.3543
  420.0000,53760.0000,    2.1611,    0.2188,    0.1562, 5773.9593
  430.0000,55040.0000,    2.3230,    0.2344,    0.1797, 5912.3442
  440.0000,56320.0000,    2.1883,    0.2891,    0.3281, 6050.3931
  450.0000,57600.0000,    2.8724,    0.3359,    0.3281, 6188.7560
  460.0000,58880.0000,    2.5905,    0.3281,    0.3281, 6328.3630
  470.0000,60160.0000,    4.0258,    0.3672,    0.3281, 6454.2512
  480.0000,61440.0000,    2.4030,    0.2969,    0.3281, 6593.2621
  490.0000,62720.0000,    2.0363,    0.3516,    0.3281, 6731.9410
  500.0000,64000.0000,    2.4961,    0.3906,    0.3281, 6870.2930
  510.0000,65280.0000,    1.9830,    0.3594,    0.3281, 7009.9519
  520.0000,66560.0000,    2.4880,    0.3750,    0.3281, 7148.2689
  530.0000,67840.0000,    3.4994,    0.4219,    0.3281, 7286.6568
  540.0000,69120.0000,    2.2889,    0.3594,    0.3281, 7425.1117
  550.0000,70400.0000,    3.4684,    0.3984,    0.3281, 7550.9859
  560.0000,71680.0000,    2.0365,    0.3047,    0.3281, 7690.7839
  570.0000,72960.0000,    2.8495,    0.3359,    0.3281, 7829.0428
  580.0000,74240.0000,    2.1020,    0.2891,    0.3281, 7967.3397
  590.0000,75520.0000,    2.5518,    0.3359,    0.3281, 8107.0997
  600.0000,76800.0000,    2.1545,    0.2578,    0.1562, 8246.1317
  610.0000,78080.0000,    2.4901,    0.3125,    0.3281, 8386.4157
  620.0000,79360.0000,    2.3174,    0.2500,    0.1797, 8526.1737
  630.0000,80640.0000,    2.3173,    0.2578,    0.3281, 8652.7269
  640.0000,81920.0000,    2.5064,    0.3672,    0.3281, 8791.2958
  650.0000,83200.0000,    2.0285,    0.3047,    0.3281, 8929.9508
  660.0000,84480.0000,    2.5270,    0.3750,    0.3281, 9069.8218
  670.0000,85760.0000,    2.4878,    0.3516,    0.3281, 9208.4417
  680.0000,87040.0000,    1.8172,    0.3516,    0.3281, 9346.9796
  690.0000,88320.0000,    2.4928,    0.3594,    0.3281, 9485.8016
  700.0000,89600.0000,    1.7898,    0.3125,    0.3281, 9624.2415
  710.0000,90880.0000,    2.1544,    0.3203,    0.3281, 9751.6788
  720.0000,92160.0000,    1.8457,    0.2969,    0.3281, 9890.0817
  730.0000,93440.0000,    2.1811,    0.2891,    0.3281,10028.9396
  740.0000,94720.0000,    1.8155,    0.1719,    0.1758,10168.4746
  750.0000,96000.0000,    1.7471,    0.3828,    0.3281,10307.0975
  760.0000,97280.0000,    1.8643,    0.2266,    0.1758,10447.1585
  770.0000,98560.0000,    1.7807,    0.3672,    0.3281,10585.4915
  780.0000,99840.0000,    1.8020,    0.1797,    0.1562,10723.8734
  790.0000,101120.0000,    1.7540,    0.2031,    0.1797,10849.8586
  800.0000,102400.0000,    1.7695,    0.3125,    0.3281,10988.3315
  810.0000,103680.0000,    1.7329,    0.3281,    0.3281,11128.7545
  820.0000,104960.0000,    1.7735,    0.1953,    0.1797,11272.7988
  830.0000,106240.0000,    1.6455,    0.3750,    0.3281,11416.4060
  840.0000,107520.0000,    1.8910,    0.3672,    0.3281,11560.3592
  850.0000,108800.0000,    1.9098,    0.3438,    0.3281,11707.4086
  860.0000,110080.0000,    1.6046,    0.3906,    0.3281,11842.0143
  870.0000,111360.0000,    1.8296,    0.2344,    0.1797,11987.8787
