# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,47658964.0000,    0.5234,    0.6016,  141.6651
   20.0000, 2560.0000,46756432.0000,    0.5625,    0.5273,  287.7645
   30.0000, 3840.0000,55591440.0000,    0.4844,    0.5078,  432.1127
   40.0000, 5120.0000,57608652.0000,    0.4922,    0.4961,  584.6424
   50.0000, 6400.0000,57629948.0000,    0.5156,    0.4922,  730.2958
   60.0000, 7680.0000,62184312.0000,    0.4922,    0.4922,  875.8291
   70.0000, 8960.0000,52535572.0000,    0.5312,    0.5273, 1020.1153
   80.0000,10240.0000,47641488.0000,    0.5625,    0.5430, 1149.9518
   90.0000,11520.0000,65149112.0000,    0.5156,    0.5703, 1292.4349
  100.0000,12800.0000,62286696.0000,    0.4844,    0.4961, 1434.9891
  110.0000,14080.0000,63482024.0000,    0.5234,    0.5664, 1579.1543
  120.0000,15360.0000,44871088.0000,    0.5625,    0.5625, 1721.9395
  130.0000,16640.0000,38965332.0000,    0.6016,    0.5781, 1864.5436
  140.0000,17920.0000,28237138.0000,    0.6641,    0.5742, 2007.1228
  150.0000,19200.0000,51066692.0000,    0.5469,    0.5742, 2149.8200
  160.0000,20480.0000,46745672.0000,    0.5312,    0.5508, 2281.4485
  170.0000,21760.0000,48562880.0000,    0.5312,    0.5820, 2423.9586
  180.0000,23040.0000,54212472.0000,    0.5234,    0.5625, 2566.1878
  190.0000,24320.0000,40054556.0000,    0.5703,    0.5898, 2708.2999
  200.0000,25600.0000,38077876.0000,    0.5938,    0.6797, 2850.5570
  210.0000,26880.0000,22389972.0000,    0.6875,    0.7070, 2994.2303
  220.0000,28160.0000,18953982.0000,    0.7188,    0.7148, 3136.6094
  230.0000,29440.0000,23766550.0000,    0.6953,    0.7148, 3278.8305
  240.0000,30720.0000,23241616.0000,    0.6797,    0.7109, 3408.2979
  250.0000,32000.0000,24066882.0000,    0.7266,    0.6836, 3550.4961
  260.0000,33280.0000,24489630.0000,    0.6641,    0.7148, 3694.0253
  270.0000,34560.0000,18711076.0000,    0.6953,    0.6992, 3836.2204
  280.0000,35840.0000,17614204.0000,    0.7188,    0.7148, 3978.4316
  290.0000,37120.0000,21884404.0000,    0.6875,    0.7031, 4120.8167
  300.0000,38400.0000,18856244.0000,    0.7109,    0.7148, 4263.6099
  310.0000,39680.0000,23528616.0000,    0.6875,    0.7031, 4407.1041
  320.0000,40960.0000,22535140.0000,    0.7188,    0.7305, 4536.1805
  330.0000,42240.0000,12494073.0000,    0.7734,    0.7148, 4678.3806
  340.0000,43520.0000,24276712.0000,    0.6562,    0.7148, 4820.2817
  350.0000,44800.0000,20156012.0000,    0.6953,    0.7266, 4962.1828
  360.0000,46080.0000,16672468.0000,    0.7422,    0.7148, 5105.9110
  370.0000,47360.0000,20556904.0000,    0.7266,    0.7148, 5248.0632
  380.0000,48640.0000,18293060.0000,    0.7422,    0.7188, 5390.0173
  390.0000,49920.0000,       nan,       nan,    0.7070, 5514.8904
  400.0000,51200.0000,21136216.0000,    0.6562,    0.7188, 5656.8646
  410.0000,52480.0000,20430360.0000,    0.6953,    0.6992, 5800.1868
  420.0000,53760.0000,16295185.0000,    0.7109,    0.7266, 5942.7709
  430.0000,55040.0000,14446655.0000,    0.7188,    0.7109, 6084.9640
  440.0000,56320.0000,21023982.0000,    0.7109,    0.7109, 6226.9622
  450.0000,57600.0000,12746110.0000,    0.7344,    0.6992, 6368.9263
