# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,3666652672.0000,    0.3125,    0.3320,  137.4699
   20.0000, 2560.0000,2550842624.0000,    0.4688,    0.4922,  277.6509
   30.0000, 3840.0000,1865970432.0000,    0.4375,    0.5078,  419.4600
   40.0000, 5120.0000,706929472.0000,    0.5000,    0.5000,  561.1191
   50.0000, 6400.0000,478217472.0000,    0.4609,    0.5352,  704.7023
   60.0000, 7680.0000,303315072.0000,    0.5469,    0.5273,  847.7345
   70.0000, 8960.0000,535186368.0000,    0.5078,    0.5117,  991.1827
   80.0000,10240.0000,307558848.0000,    0.4375,    0.4180, 1145.4505
   90.0000,11520.0000,125736016.0000,    0.5781,    0.5664, 1300.6594
  100.0000,12800.0000,146678752.0000,    0.5781,    0.6133, 1454.5942
  110.0000,14080.0000,145582240.0000,    0.5469,    0.5547, 1610.6871
  120.0000,15360.0000,161654336.0000,    0.3516,    0.3633, 1771.4983
  130.0000,16640.0000,94654352.0000,    0.5703,    0.6211, 1928.0343
  140.0000,17920.0000,99914800.0000,    0.5469,    0.6133, 2069.3874
  150.0000,19200.0000,42946208.0000,    0.7812,    0.7148, 2209.8974
  160.0000,20480.0000,36873552.0000,    0.6641,    0.6797, 2351.4945
  170.0000,21760.0000,34763840.0000,    0.6484,    0.6094, 2491.3985
  180.0000,23040.0000,18586344.0000,    0.6641,    0.6836, 2631.5575
  190.0000,24320.0000,16593731.0000,    0.6328,    0.6406, 2771.3465
  200.0000,25600.0000,11253052.0000,    0.6250,    0.6289, 2911.2925
  210.0000,26880.0000,7660699.0000,    0.5391,    0.4883, 3053.3646
  220.0000,28160.0000,789504.1875,    0.2969,    0.3086, 3193.6917
  230.0000,29440.0000,194776.7031,    0.1562,    0.1836, 3333.4937
  240.0000,30720.0000,    2.0579,    0.1641,    0.1641, 3473.1567
  250.0000,32000.0000,20660.7500,    0.1797,    0.1680, 3612.7786
  260.0000,33280.0000,125493.7969,    0.1719,    0.1680, 3754.4907
  270.0000,34560.0000,21206.0742,    0.1328,    0.1562, 3895.7598
  280.0000,35840.0000,21369.3281,    0.2031,    0.1602, 4036.8749
  290.0000,37120.0000,26913.0566,    0.2422,    0.1602, 4178.1280
  300.0000,38400.0000,639552.5000,    0.1719,    0.1602, 4319.2780
  310.0000,39680.0000,    1.9284,    0.1484,    0.1797, 4462.1332
  320.0000,40960.0000,    2.0356,    0.2031,    0.1602, 4603.2173
  330.0000,42240.0000,    1.9575,    0.1250,    0.1602, 4744.3544
  340.0000,43520.0000,147920.6250,    0.1250,    0.1484, 4890.2597
  350.0000,44800.0000,    1.8287,    0.1875,    0.1641, 5032.6519
  360.0000,46080.0000,    2.0464,    0.1172,    0.1562, 5175.1850
  370.0000,47360.0000,    2.0175,    0.1641,    0.1562, 5316.1371
  380.0000,48640.0000,    2.1510,    0.0938,    0.1562, 5457.3331
  390.0000,49920.0000,22064.0039,    0.1719,    0.1602, 5598.4652
  400.0000,51200.0000,    1.8339,    0.2031,    0.1602, 5739.5873
  410.0000,52480.0000,    1.8162,    0.2188,    0.1562, 5882.2204
  420.0000,53760.0000,    1.8829,    0.1953,    0.1523, 6023.3215
  430.0000,55040.0000, 7072.4951,    0.1406,    0.1562, 6164.3686
  440.0000,56320.0000,105218.0547,    0.1641,    0.1523, 6305.6097
  450.0000,57600.0000,    1.8865,    0.1719,    0.1562, 6446.7197
  460.0000,58880.0000,    1.8783,    0.1953,    0.1602, 6589.9729
  470.0000,60160.0000,    1.8007,    0.1719,    0.1562, 6718.4913
