# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,13551.1943,    0.3750,    0.3789,    3.9102
   20.0000, 2560.0000, 7163.4575,    0.6172,    0.5898,    7.7254
   30.0000, 3840.0000, 5508.5474,    0.7578,    0.7070,   11.6337
   40.0000, 5120.0000, 5062.4233,    0.7500,    0.7734,   15.5029
   50.0000, 6400.0000, 4148.5215,    0.7734,    0.7969,   19.3531
   60.0000, 7680.0000, 3774.7676,    0.7891,    0.8281,   23.1683
   70.0000, 8960.0000, 3270.5691,    0.8359,    0.8477,   27.0385
   80.0000,10240.0000, 1200.7563,    0.9219,    0.8477,   30.8928
   90.0000,11520.0000, 2419.4446,    0.8125,    0.8828,   34.7490
  100.0000,12800.0000, 2897.4780,    0.8984,    0.8984,   38.5332
  110.0000,14080.0000, 1234.5320,    0.8672,    0.9141,   42.4364
  120.0000,15360.0000,  889.4819,    0.9375,    0.9102,   46.2726
  130.0000,16640.0000, 2342.6914,    0.8906,    0.9180,   50.0579
  140.0000,17920.0000, 1507.1626,    0.9297,    0.9062,   53.8671
  150.0000,19200.0000, 2126.1069,    0.8906,    0.9062,   57.7093
  160.0000,20480.0000, 1519.3635,    0.9219,    0.9375,   61.5185
  170.0000,21760.0000, 1026.8053,    0.9141,    0.9414,   65.3207
  180.0000,23040.0000, 3916.1367,    0.8516,    0.9219,   69.2360
  190.0000,24320.0000,  660.7329,    0.9453,    0.9336,   73.0262
  200.0000,25600.0000, 1789.9738,    0.9062,    0.9297,   76.8314
  210.0000,26880.0000,  620.1854,    0.9531,    0.9531,   80.7096
  220.0000,28160.0000,  507.7329,    0.9375,    0.9531,   84.5018
  230.0000,29440.0000, 2012.3384,    0.9062,    0.9414,   88.3131
  240.0000,30720.0000, 1570.8538,    0.9062,    0.9375,   92.1093
  250.0000,32000.0000, 1295.3801,    0.9375,    0.9609,   95.8815
  260.0000,33280.0000, 1253.9805,    0.9219,    0.9492,   99.7447
  270.0000,34560.0000,  784.2240,    0.9297,    0.9375,  103.5249
  280.0000,35840.0000,  320.2889,    0.9688,    0.9570,  107.2981
  290.0000,37120.0000,  878.4368,    0.9531,    0.9648,  111.1444
  300.0000,38400.0000, 1680.9861,    0.9141,    0.9570,  114.9816
  310.0000,39680.0000,  466.4581,    0.9375,    0.9609,  118.7708
  320.0000,40960.0000,  993.0786,    0.9219,    0.9609,  122.5550
  330.0000,42240.0000,  968.2955,    0.9219,    0.9688,  126.3282
  340.0000,43520.0000,  414.7629,    0.9219,    0.9727,  130.1834
  350.0000,44800.0000,  218.2313,    0.9531,    0.9727,  134.1087
  360.0000,46080.0000, 1261.8789,    0.8984,    0.9609,  137.9709
  370.0000,47360.0000,  628.1334,    0.9688,    0.9688,  141.7401
  380.0000,48640.0000,  379.0464,    0.9688,    0.9688,  146.0174
  390.0000,49920.0000,  619.4918,    0.9453,    0.9844,  149.9016
  400.0000,51200.0000,  414.4743,    0.9453,    0.9688,  154.0458
  410.0000,52480.0000,  834.8268,    0.9453,    0.9727,  158.1830
  420.0000,53760.0000,  996.8919,    0.9375,    0.9688,  162.0333
  430.0000,55040.0000,  454.2892,    0.9844,    0.9766,  165.9165
  440.0000,56320.0000,  651.7172,    0.9219,    0.9648,  169.7007
  450.0000,57600.0000,  658.3837,    0.9453,    0.9688,  173.5009
  460.0000,58880.0000, 1234.0889,    0.9219,    0.9727,  177.3001
