# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,7695292.0000,    0.4062,    0.4023,    8.5020
   20.0000, 2560.0000,5903891.0000,    0.5547,    0.5469,   16.8052
   30.0000, 3840.0000,4358223.0000,    0.4688,    0.5469,   25.0138
   40.0000, 5120.0000,2138827.5000,    0.6250,    0.5391,   33.0413
   50.0000, 6400.0000,2290100.0000,    0.5625,    0.6016,   41.1049
   60.0000, 7680.0000,2113195.2500,    0.5781,    0.6328,   50.3369
   70.0000, 8960.0000,1389388.7500,    0.6250,    0.6406,   58.3603
   80.0000,10240.0000,1509216.0000,    0.6484,    0.6328,   65.7391
   90.0000,11520.0000,2211926.5000,    0.5859,    0.6250,   73.7887
  100.0000,12800.0000,1810053.0000,    0.5703,    0.6172,   81.8412
  110.0000,14080.0000,1156755.2500,    0.6641,    0.6719,   91.0460
  120.0000,15360.0000,685588.0000,    0.7266,    0.7266,   99.4846
  130.0000,16640.0000,664618.1875,    0.6953,    0.6875,  107.7634
  140.0000,17920.0000,805186.8750,    0.7188,    0.7578,  115.9378
  150.0000,19200.0000,603235.3125,    0.7344,    0.7539,  124.0705
  160.0000,20480.0000,470196.5000,    0.7422,    0.7617,  132.6133
  170.0000,21760.0000,592612.1875,    0.7422,    0.7773,  140.6585
  180.0000,23040.0000,423546.0938,    0.8047,    0.7500,  148.7579
  190.0000,24320.0000,558641.6250,    0.7422,    0.7695,  157.0611
  200.0000,25600.0000,534432.1250,    0.7812,    0.7969,  165.5037
  210.0000,26880.0000,365632.7500,    0.8125,    0.8008,  174.6620
  220.0000,28160.0000,501879.3750,    0.8203,    0.7617,  182.8896
  230.0000,29440.0000,394082.6250,    0.8438,    0.7891,  190.9704
  240.0000,30720.0000,529294.5000,    0.7734,    0.7852,  198.3596
  250.0000,32000.0000,313854.1875,    0.8438,    0.8125,  206.4414
  260.0000,33280.0000,282737.5625,    0.8438,    0.8047,  215.6506
  270.0000,34560.0000,331355.2812,    0.8516,    0.8047,  223.6906
  280.0000,35840.0000,383951.3125,    0.8047,    0.8320,  231.8253
  290.0000,37120.0000,413338.6250,    0.7500,    0.7930,  239.8779
  300.0000,38400.0000,348047.1250,    0.8281,    0.8164,  247.9587
  310.0000,39680.0000,304620.3438,    0.7812,    0.8047,  257.0719
  320.0000,40960.0000,163368.3750,    0.8672,    0.7930,  264.4183
  330.0000,42240.0000,159688.3750,    0.8750,    0.8125,  272.4835
  340.0000,43520.0000,237486.0469,    0.8359,    0.8281,  280.4736
  350.0000,44800.0000,123165.8359,    0.9141,    0.8320,  288.5660
  360.0000,46080.0000,229415.9844,    0.8203,    0.8086,  297.7612
  370.0000,47360.0000,253874.0625,    0.8281,    0.8242,  305.7684
  380.0000,48640.0000,195815.4219,    0.8281,    0.8281,  313.8024
  390.0000,49920.0000,       nan,       nan,    0.8398,  320.9477
  400.0000,51200.0000,156632.0312,    0.8828,    0.8555,  329.0325
  410.0000,52480.0000,290598.2812,    0.8125,    0.8555,  338.2373
  420.0000,53760.0000,211559.6875,    0.8281,    0.8398,  346.3053
  430.0000,55040.0000,88420.1719,    0.8906,    0.8438,  354.3643
  440.0000,56320.0000,103183.1562,    0.8672,    0.8281,  362.4485
  450.0000,57600.0000,109903.7031,    0.8750,    0.8516,  370.5138
  460.0000,58880.0000,141029.2812,    0.8594,    0.8477,  379.6594
  470.0000,60160.0000,222548.2344,    0.8359,    0.8477,  387.0140
  480.0000,61440.0000,83545.5156,    0.9062,    0.8477,  395.0686
  490.0000,62720.0000,124048.4453,    0.8828,    0.8203,  403.2272
  500.0000,64000.0000,99470.2500,    0.8750,    0.8516,  411.3608
  510.0000,65280.0000,105729.9688,    0.8672,    0.8320,  420.5933
  520.0000,66560.0000,106552.1875,    0.8672,    0.8438,  428.6227
  530.0000,67840.0000,61940.7266,    0.8828,    0.8320,  436.6929
  540.0000,69120.0000,81291.0156,    0.8984,    0.8359,  444.7755
  550.0000,70400.0000,81299.1172,    0.8828,    0.8398,  452.2725
  560.0000,71680.0000,121401.9062,    0.8672,    0.8516,  461.5011
  570.0000,72960.0000,44794.4922,    0.9219,    0.8555,  469.5567
  580.0000,74240.0000,81588.8750,    0.8828,    0.8594,  477.5978
  590.0000,75520.0000,94963.9062,    0.9062,    0.8555,  485.6646
  600.0000,76800.0000,61527.1797,    0.8828,    0.8477,  493.9698
  610.0000,78080.0000,69787.7734,    0.9062,    0.8594,  503.1820
  620.0000,79360.0000,101115.9453,    0.8672,    0.8750,  511.4516
  630.0000,80640.0000,95209.8125,    0.8594,    0.8633,  518.8223
  640.0000,81920.0000,45445.0352,    0.9219,    0.8711,  526.9061
  650.0000,83200.0000,72060.4688,    0.9219,    0.8633,  535.0397
  660.0000,84480.0000,84204.5547,    0.8672,    0.8750,  544.1771
  670.0000,85760.0000,76776.3750,    0.8828,    0.8594,  552.2235
  680.0000,87040.0000,48516.8438,    0.9219,    0.8828,  560.2951
  690.0000,88320.0000,116087.3203,    0.9062,    0.8555,  568.3753
  700.0000,89600.0000,56357.2461,    0.9062,    0.8594,  576.4772
  710.0000,90880.0000,47250.6914,    0.9297,    0.8594,  584.9562
