# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000, 8926.7441,    0.9609,    0.9102,    8.0652
   20.0000, 2560.0000,11580.4414,    0.9688,    0.8984,   16.1142
   30.0000, 3840.0000, 3822.9473,    0.9766,    0.9062,   24.1399
   40.0000, 5120.0000, 7644.6016,    0.9609,    0.9023,   32.1873
   50.0000, 6400.0000, 6235.8301,    0.9766,    0.8984,   40.3907
   60.0000, 7680.0000, 9400.4062,    0.9453,    0.8867,   49.6141
   70.0000, 8960.0000, 2158.7148,    0.9844,    0.9102,   57.6655
   80.0000,10240.0000, 2621.5156,    0.9766,    0.9062,   65.0563
   90.0000,11520.0000,    0.0000,    1.0000,    0.9102,   73.1155
  100.0000,12800.0000, 5116.2559,    0.9688,    0.8984,   81.2304
  110.0000,14080.0000,   52.8047,    0.9922,    0.8906,   90.4328
  120.0000,15360.0000, 3187.4609,    0.9766,    0.8945,   98.5890
  130.0000,16640.0000,15698.7383,    0.9766,    0.9062,  106.7190
  140.0000,17920.0000, 7743.5664,    0.9531,    0.9141,  114.7998
  150.0000,19200.0000, 6210.3711,    0.9688,    0.9102,  123.1902
  160.0000,20480.0000, 6377.1152,    0.9688,    0.9062,  131.9241
  170.0000,21760.0000, 3256.6445,    0.9766,    0.9023,  140.1675
  180.0000,23040.0000, 4915.3125,    0.9766,    0.9023,  148.3371
  190.0000,24320.0000, 2580.5176,    0.9844,    0.9141,  157.1385
  200.0000,25600.0000, 6903.3379,    0.9688,    0.8945,  165.4183
  210.0000,26880.0000, 3782.0312,    0.9922,    0.8945,  174.6459
  220.0000,28160.0000,  283.3691,    0.9844,    0.9062,  182.7368
  230.0000,29440.0000, 2160.6309,    0.9844,    0.9180,  190.7762
  240.0000,30720.0000,  951.8242,    0.9844,    0.9023,  198.1706
  250.0000,32000.0000, 2790.9668,    0.9922,    0.9062,  206.2518
  260.0000,33280.0000, 4117.4922,    0.9766,    0.9102,  215.7148
  270.0000,34560.0000, 5491.1973,    0.9609,    0.9180,  223.9740
  280.0000,35840.0000, 4739.7832,    0.9844,    0.9141,  231.9973
  290.0000,37120.0000,    0.0000,    1.0000,    0.9219,  240.0865
  300.0000,38400.0000, 5093.8525,    0.9688,    0.9336,  248.3550
