# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,    0.0000,    1.0000,    0.9375,    8.2208
   20.0000, 2560.0000, 3481.8438,    0.9922,    0.9297,   16.3445
   30.0000, 3840.0000,  147.4805,    0.9922,    0.9258,   24.4853
   40.0000, 5120.0000,    0.0000,    1.0000,    0.9414,   32.5868
   50.0000, 6400.0000,    0.0000,    1.0000,    0.9414,   40.6856
   60.0000, 7680.0000,  838.6836,    0.9922,    0.9258,   49.9977
   70.0000, 8960.0000,  881.3711,    0.9922,    0.9609,   58.2179
   80.0000,10240.0000, 5273.4219,    0.9922,    0.9297,   65.7493
   90.0000,11520.0000,    0.0000,    1.0000,    0.9570,   74.0456
  100.0000,12800.0000,  360.4180,    0.9922,    0.9492,   82.4006
  110.0000,14080.0000,    0.0000,    1.0000,    0.9531,   91.6707
  120.0000,15360.0000, 2310.0977,    0.9844,    0.9180,  100.3783
  130.0000,16640.0000,    0.0000,    1.0000,    0.9336,  108.7488
  140.0000,17920.0000,  943.8320,    0.9922,    0.9414,  116.8430
  150.0000,19200.0000, 2191.7070,    0.9766,    0.9375,  124.9519
  160.0000,20480.0000,    0.0000,    1.0000,    0.9414,  133.5609
  170.0000,21760.0000,  611.7402,    0.9922,    0.9102,  141.6871
  180.0000,23040.0000,    0.0000,    1.0000,    0.9297,  149.9120
  190.0000,24320.0000,  159.2441,    0.9922,    0.9414,  158.1244
  200.0000,25600.0000,    0.0000,    1.0000,    0.9258,  166.7803
  210.0000,26880.0000, 1703.1250,    0.9766,    0.9414,  176.0628
  220.0000,28160.0000,    0.0000,    1.0000,    0.9453,  185.0320
  230.0000,29440.0000, 3474.4102,    0.9844,    0.9336,  193.3451
  240.0000,30720.0000,    0.0000,    1.0000,    0.9297,  200.8151
  250.0000,32000.0000,    0.0000,    1.0000,    0.9414,  209.0058
  260.0000,33280.0000,    0.0000,    1.0000,    0.9453,  218.6761
  270.0000,34560.0000,    0.0000,    1.0000,    0.9297,  227.0709
  280.0000,35840.0000,  615.3203,    0.9922,    0.9375,  235.2483
  290.0000,37120.0000,    0.0000,    1.0000,    0.9492,  243.5510
  300.0000,38400.0000,    0.0000,    1.0000,    0.9414,  251.9290
  310.0000,39680.0000,   26.5117,    0.9922,    0.9414,  261.9626
  320.0000,40960.0000,  325.4180,    0.9922,    0.9062,  269.7486
  330.0000,42240.0000, 7045.2256,    0.9766,    0.9414,  278.5264
  340.0000,43520.0000,    0.0000,    1.0000,    0.9570,  287.2367
  350.0000,44800.0000,    0.0000,    1.0000,    0.9531,  296.2647
  360.0000,46080.0000,  305.1289,    0.9922,    0.9492,  305.7817
  370.0000,47360.0000,  140.2891,    0.9922,    0.9492,  313.8845
  380.0000,48640.0000,    0.0000,    1.0000,    0.9492,  321.9673
  390.0000,49920.0000,       nan,       nan,    0.9297,  329.1901
  400.0000,51200.0000,    0.0000,    1.0000,    0.9375,  337.3500
  410.0000,52480.0000,    0.0000,    1.0000,    0.9492,  346.5952
  420.0000,53760.0000,    0.0000,    1.0000,    0.9492,  354.6784
  430.0000,55040.0000,  154.4941,    0.9922,    0.9492,  362.7914
  440.0000,56320.0000,    0.0000,    1.0000,    0.9531,  370.8908
  450.0000,57600.0000,    0.0000,    1.0000,    0.9570,  379.0448
  460.0000,58880.0000,    0.0000,    1.0000,    0.9453,  388.3113
  470.0000,60160.0000,  364.6777,    0.9844,    0.9375,  395.7479
  480.0000,61440.0000,    0.0000,    1.0000,    0.9453,  403.9409
  490.0000,62720.0000,    0.0000,    1.0000,    0.9453,  412.4297
  500.0000,64000.0000, 1241.7822,    0.9922,    0.9375,  421.0607
  510.0000,65280.0000,  593.4023,    0.9922,    0.9414,  430.3994
  520.0000,66560.0000,    0.0000,    1.0000,    0.9336,  438.5790
  530.0000,67840.0000,  257.4668,    0.9844,    0.9492,  446.9540
  540.0000,69120.0000,    0.0000,    1.0000,    0.9492,  455.2126
  550.0000,70400.0000,    0.0000,    1.0000,    0.9414,  462.7116
  560.0000,71680.0000, 1367.4180,    0.9844,    0.8945,  472.0388
  570.0000,72960.0000, 1107.7656,    0.9844,    0.9102,  480.1203
  580.0000,74240.0000, 5272.3086,    0.9844,    0.9297,  488.2167
  590.0000,75520.0000,    0.0000,    1.0000,    0.9453,  496.3239
  600.0000,76800.0000,  810.8086,    0.9922,    0.9492,  504.5571
  610.0000,78080.0000,   36.0918,    0.9922,    0.9453,  513.8183
  620.0000,79360.0000, 1658.8926,    0.9922,    0.9492,  521.8769
  630.0000,80640.0000,    0.0000,    1.0000,    0.9453,  529.4270
  640.0000,81920.0000, 1181.8984,    0.9844,    0.9531,  537.6350
  650.0000,83200.0000,  433.3262,    0.9922,    0.9336,  545.8320
  660.0000,84480.0000,    0.0000,    1.0000,    0.9453,  555.1324
  670.0000,85760.0000, 1726.2930,    0.9844,    0.9297,  563.2912
  680.0000,87040.0000, 1067.4141,    0.9844,    0.9414,  571.4866
  690.0000,88320.0000, 2764.1855,    0.9844,    0.9453,  579.6323
  700.0000,89600.0000,    0.0000,    1.0000,    0.9570,  587.8223
  710.0000,90880.0000,    0.0000,    1.0000,    0.9492,  596.3911
  720.0000,92160.0000,    0.0000,    1.0000,    0.9609,  604.4913
