# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,23367420.0000,    0.3125,    0.3438,   31.9341
   20.0000, 2560.0000,11588418.0000,    0.4453,    0.4141,   63.3675
   30.0000, 3840.0000,13150556.0000,    0.3516,    0.4141,   95.2545
   40.0000, 5120.0000,6658104.5000,    0.5078,    0.4883,  126.8701
   50.0000, 6400.0000,6931277.5000,    0.4375,    0.5000,  158.6096
   60.0000, 7680.0000,3313969.5000,    0.5156,    0.5195,  193.1302
   70.0000, 8960.0000,5991630.5000,    0.5000,    0.5039,  224.5060
   80.0000,10240.0000,2490943.2500,    0.5000,    0.5898,  256.0114
   90.0000,11520.0000,1887395.2500,    0.6250,    0.5312,  287.6268
  100.0000,12800.0000,1957401.0000,    0.4531,    0.4062,  319.2465
  110.0000,14080.0000,1693921.6250,    0.4922,    0.5547,  353.3677
  120.0000,15360.0000,1492489.0000,    0.6406,    0.5938,  384.6372
  130.0000,16640.0000,719264.1250,    0.7109,    0.6289,  416.2879
  140.0000,17920.0000,896664.6875,    0.6172,    0.5195,  447.7789
  150.0000,19200.0000,563055.8750,    0.5859,    0.5469,  479.3828
  160.0000,20480.0000,305874.8750,    0.6406,    0.5742,  513.6887
  170.0000,21760.0000,413878.8125,    0.6406,    0.6016,  544.8695
  180.0000,23040.0000,316239.2812,    0.6016,    0.6328,  576.3041
  190.0000,24320.0000,237494.3281,    0.6328,    0.6328,  607.8555
  200.0000,25600.0000,181046.2656,    0.7031,    0.6406,  639.2448
  210.0000,26880.0000,216183.5000,    0.5000,    0.6211,  673.4415
  220.0000,28160.0000,131792.6250,    0.5859,    0.6250,  704.6723
  230.0000,29440.0000,97886.8203,    0.5781,    0.6016,  736.1102
  240.0000,30720.0000,100669.9531,    0.5391,    0.5469,  767.5416
  250.0000,32000.0000,70991.2656,    0.4922,    0.5195,  799.1348
  260.0000,33280.0000,48602.3281,    0.4766,    0.4922,  833.2201
  270.0000,34560.0000,42067.4883,    0.4844,    0.4609,  864.6481
  280.0000,35840.0000,29045.8789,    0.4219,    0.4297,  896.1767
  290.0000,37120.0000,10815.0137,    0.4219,    0.4141,  927.7138
  300.0000,38400.0000,15589.9326,    0.4609,    0.3984,  959.5378
  310.0000,39680.0000,10148.3496,    0.5000,    0.3867,  994.0242
  320.0000,40960.0000, 7238.1855,    0.4219,    0.3789, 1025.5074
  330.0000,42240.0000, 7835.9121,    0.5000,    0.3789, 1058.8085
  340.0000,43520.0000,10517.8193,    0.4531,    0.3750, 1093.1290
  350.0000,44800.0000, 4663.6650,    0.4453,    0.3672, 1127.4343
  360.0000,46080.0000, 5883.2749,    0.4375,    0.3633, 1164.2209
  370.0000,47360.0000, 4119.5771,    0.3750,    0.3672, 1198.5505
  380.0000,48640.0000, 2586.5532,    0.4375,    0.3594, 1232.4676
  390.0000,49920.0000, 2802.3403,    0.3672,    0.3516, 1266.2993
  400.0000,51200.0000, 3442.7385,    0.3281,    0.3594, 1299.9844
  410.0000,52480.0000, 2404.9690,    0.3906,    0.3555, 1336.0736
  420.0000,53760.0000,  424.4518,    0.3750,    0.3594, 1367.5424
  430.0000,55040.0000, 1960.3580,    0.3828,    0.3555, 1399.0453
  440.0000,56320.0000, 1991.7274,    0.3203,    0.3516, 1430.6853
  450.0000,57600.0000, 1916.1841,    0.3281,    0.3438, 1462.0881
  460.0000,58880.0000, 1197.1970,    0.3516,    0.3438, 1496.4847
  470.0000,60160.0000, 1134.0918,    0.4062,    0.3398, 1525.0841
  480.0000,61440.0000, 6546.6226,    0.3359,    0.3398, 1557.1553
  490.0000,62720.0000, 1510.9016,    0.3828,    0.3398, 1588.6705
  500.0000,64000.0000, 1791.9768,    0.4219,    0.3359, 1620.6208
  510.0000,65280.0000, 4067.0122,    0.3672,    0.3359, 1654.8760
  520.0000,66560.0000,  334.2290,    0.4062,    0.3398, 1686.2081
  530.0000,67840.0000,  275.1684,    0.4531,    0.3359, 1717.9589
  540.0000,69120.0000,  697.1598,    0.4141,    0.3398, 1750.2214
  550.0000,70400.0000,  497.9723,    0.3516,    0.3398, 1781.6038
  560.0000,71680.0000, 5422.3828,    0.4062,    0.3359, 1815.9371
  570.0000,72960.0000, 1882.3287,    0.3516,    0.3359, 1847.2219
  580.0000,74240.0000,  514.5402,    0.3750,    0.3359, 1878.5708
  590.0000,75520.0000, 3428.9097,    0.3359,    0.3320, 1910.0950
  600.0000,76800.0000,  128.7454,    0.3516,    0.3320, 1941.3908
  610.0000,78080.0000, 2737.5786,    0.4062,    0.3320, 1975.6993
  620.0000,79360.0000, 1157.8495,    0.3906,    0.3320, 2007.0369
  630.0000,80640.0000, 1644.6481,    0.3594,    0.3320, 2038.4834
  640.0000,81920.0000,    1.6746,    0.3438,    0.3359, 2069.7092
  650.0000,83200.0000, 3609.3728,    0.3594,    0.3359, 2101.1229
  660.0000,84480.0000,   94.6417,    0.3828,    0.3359, 2135.1924
  670.0000,85760.0000,  154.7230,    0.2891,    0.3398, 2166.3967
  680.0000,87040.0000,  900.9716,    0.3125,    0.3398, 2197.7845
  690.0000,88320.0000,   85.6512,    0.3047,    0.3398, 2229.1099
  700.0000,89600.0000, 1584.6710,    0.3438,    0.3359, 2260.3158
  710.0000,90880.0000,  532.6154,    0.3594,    0.3359, 2294.9082
  720.0000,92160.0000,  185.9699,    0.3438,    0.3359, 2327.2511
  730.0000,93440.0000,  177.6859,    0.2891,    0.3359, 2358.9567
  740.0000,94720.0000,  457.8900,    0.3125,    0.3359, 2390.8377
  750.0000,96000.0000, 1042.6033,    0.3047,    0.3359, 2422.8094
  760.0000,97280.0000, 1411.0724,    0.3516,    0.3359, 2457.4048
  770.0000,98560.0000, 2226.7075,    0.3359,    0.3359, 2490.6731
  780.0000,99840.0000,    1.6404,    0.3828,    0.3359, 2522.5287
  790.0000,101120.0000,  372.0365,    0.3438,    0.3359, 2554.5465
  800.0000,102400.0000,   39.0706,    0.3203,    0.3359, 2586.7284
  810.0000,103680.0000,  561.3569,    0.3203,    0.3359, 2621.4554
  820.0000,104960.0000,  607.5417,    0.3281,    0.3359, 2652.9872
  830.0000,106240.0000, 1454.5239,    0.3594,    0.3359, 2684.7902
  840.0000,107520.0000,   53.4396,    0.3594,    0.3359, 2716.5901
  850.0000,108800.0000,    1.5509,    0.4062,    0.3359, 2748.5943
  860.0000,110080.0000,  841.1448,    0.3516,    0.3359, 2783.4178
  870.0000,111360.0000,    1.6063,    0.3984,    0.3359, 2814.9326
  880.0000,112640.0000,  164.2348,    0.3047,    0.3359, 2846.6682
  890.0000,113920.0000,  186.9610,    0.4141,    0.3320, 2879.8818
  900.0000,115200.0000,  961.6248,    0.3203,    0.3320, 2912.6500
  910.0000,116480.0000,    1.7106,    0.2812,    0.3320, 2948.2570
  920.0000,117760.0000,   75.2145,    0.3047,    0.3320, 2981.1489
  930.0000,119040.0000,    1.6684,    0.3672,    0.3320, 3014.0471
  940.0000,120320.0000,  139.7568,    0.3984,    0.3320, 3044.6119
  950.0000,121600.0000,    1.7133,    0.2969,    0.3320, 3076.7741
  960.0000,122880.0000,  287.6665,    0.3438,    0.3320, 3113.2986
  970.0000,124160.0000,  441.4668,    0.3359,    0.3320, 3146.9180
  980.0000,125440.0000,  279.9620,    0.3203,    0.3320, 3180.3290
  990.0000,126720.0000,    1.7253,    0.2969,    0.3320, 3212.5822
 1000.0000,128000.0000,    1.6595,    0.3750,    0.3281, 3244.5391
 1010.0000,129280.0000,   93.7254,    0.2969,    0.3281, 3279.2955
 1020.0000,130560.0000,    1.6310,    0.3516,    0.3281, 3311.6779
 1030.0000,131840.0000,   25.0670,    0.3516,    0.3320, 3345.1239
 1040.0000,133120.0000,   25.8403,    0.3203,    0.3281, 3378.1173
 1050.0000,134400.0000,    1.6723,    0.3125,    0.3281, 3410.5419
 1060.0000,135680.0000,    1.6925,    0.3203,    0.3281, 3445.5897
 1070.0000,136960.0000,    1.6754,    0.3438,    0.3281, 3477.5806
 1080.0000,138240.0000,    1.6350,    0.3750,    0.3281, 3509.7089
 1090.0000,139520.0000,  951.0980,    0.4219,    0.3281, 3541.8286
 1100.0000,140800.0000,    1.6455,    0.3516,    0.3281, 3573.6589
 1110.0000,142080.0000,    1.6394,    0.3672,    0.3281, 3608.9232
 1120.0000,143360.0000,  119.8417,    0.2969,    0.3281, 3640.9453
 1130.0000,144640.0000,  158.5007,    0.2969,    0.3281, 3674.0802
 1140.0000,145920.0000,    1.7000,    0.2969,    0.3281, 3706.7949
 1150.0000,147200.0000,    1.6978,    0.2969,    0.3281, 3739.1960
 1160.0000,148480.0000,    1.6614,    0.3516,    0.3281, 3774.6560
 1170.0000,149760.0000,  184.6094,    0.3594,    0.3281, 3808.4273
 1180.0000,151040.0000,    1.6444,    0.3672,    0.3281, 3842.1762
 1190.0000,152320.0000,    1.5711,    0.4375,    0.3281, 3875.2721
 1200.0000,153600.0000,    1.6036,    0.4062,    0.3281, 3907.9217
 1210.0000,154880.0000,  114.4247,    0.3281,    0.3281, 3943.2105
 1220.0000,156160.0000,  133.6555,    0.2969,    0.3281, 3976.4829
 1230.0000,157440.0000,    1.6460,    0.3672,    0.3281, 4010.3792
 1240.0000,158720.0000,    1.6749,    0.3516,    0.3281, 4043.8954
 1250.0000,160000.0000,    1.6433,    0.3594,    0.3281, 4076.5508
 1260.0000,161280.0000,    1.6716,    0.3516,    0.3281, 4112.2990
 1270.0000,162560.0000,    1.7151,    0.2734,    0.3281, 4145.1947
 1280.0000,163840.0000,    1.6938,    0.3281,    0.3281, 4178.1119
 1290.0000,165120.0000,  229.5625,    0.3125,    0.3281, 4210.7670
 1300.0000,166400.0000,    1.6064,    0.4062,    0.3281, 4244.3286
 1310.0000,167680.0000,    1.6749,    0.3359,    0.3281, 4279.9065
 1320.0000,168960.0000,    1.6633,    0.3438,    0.3281, 4313.2923
 1330.0000,170240.0000,    1.6794,    0.3125,    0.3281, 4345.7058
