# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,    0.0000,    1.0000,    0.9648,    8.1285
   20.0000, 2560.0000,    0.0000,    1.0000,    0.9648,   16.3171
   30.0000, 3840.0000,    0.0000,    1.0000,    0.9570,   24.4476
   40.0000, 5120.0000,    0.0000,    1.0000,    0.9609,   32.6072
   50.0000, 6400.0000,    0.0000,    1.0000,    0.9609,   40.7814
   60.0000, 7680.0000,  424.6562,    0.9922,    0.9609,   50.1820
   70.0000, 8960.0000,    0.0000,    1.0000,    0.9609,   58.4032
   80.0000,10240.0000,17912.0039,    0.9453,    0.9648,   66.5670
   90.0000,11520.0000,13251.7227,    0.9688,    0.9766,   74.7123
  100.0000,12800.0000, 9225.4561,    0.9531,    0.9570,   82.9147
  110.0000,14080.0000,35118.6602,    0.9531,    0.9453,   92.2515
  120.0000,15360.0000,15896.1543,    0.9609,    0.9531,  100.5145
  130.0000,16640.0000, 4410.2324,    0.9844,    0.9688,  108.7707
  140.0000,17920.0000, 3244.5615,    0.9531,    0.9766,  116.9279
  150.0000,19200.0000,10360.1152,    0.9766,    0.9766,  125.0816
  160.0000,20480.0000, 3710.9219,    0.9609,    0.9570,  134.4468
  170.0000,21760.0000, 4670.5469,    0.9688,    0.9766,  142.5999
  180.0000,23040.0000,31937.5273,    0.9297,    0.9531,  150.7475
  190.0000,24320.0000, 2996.1816,    0.9922,    0.9727,  159.0724
